East_m,North_m,Species
304.86,187.29,WH
303.85,192.36,WH
293.21,191.45,WH
293.26,185.24,SF
295.08,184.45,WH
301.35,182.22,WH
299.63,163.98,SF
296.33,173.51,SF
296.25,176.85,SF
289.93,177.21,SF
286.1,178.31,WH
292.19,182.96,SF
292.36,183.96,WH
292.88,182.54,SF
264.56,166.26,SF
265.51,168.97,SF
263.14,169.56,WH
262.87,166.71,SF
270.64,167.38,DF
246.46,128.79,SF
152.68,139.15,SF
117.79,78.9,SF
23.24,89.66,SF
92.25,30.81,SF
81.28,18.58,WH
84.17,9.24,WH
18.72,99.44,WH
24.32,88.48,SF
25.39,83.84,SF
40.9,45.83,DF
39.85,52.22,SF
35.43,50.03,SF
38.22,56.74,SF
36.14,57.02,SF
36.85,59.51,SF
34.19,58.42,SF
32.04,58.55,SF
100.65,33.79,WH
97.07,31.88,DF
89.53,27.78,SF
89.96,25.28,SF
83.31,11.69,SF
83.71,11.2,WH
83.72,11.03,SF
54.7,23.32,SF
41.99,46.33,SF
39.26,47.92,SF
356.49,137.8,DF
357.13,138.69,SF
351.55,157.91,SF
262.23,216.49,SF
261.16,217.36,WH
261.21,214.57,SF
252.93,211.53,WH
241.48,209.5,WH
231.77,206.3,WH
187.29,196.94,DF
186.29,193.31,SF
183.13,190.74,DF
182.79,193.83,SF
178.66,193.55,SF
179.46,191.43,SF
174.76,186.42,SF
168.86,188.81,SF
165.8,183.69,SF
157.32,180.55,SF
157.07,183.79,SF
154.21,181.93,SF
132.26,172.65,SF
100.97,163.52,WH
104.22,167.15,DF
93.12,160.25,SF
85.78,157.57,WH
84.07,158.46,WH
83.16,156.52,WH
76.73,156.46,SF
23.53,137.86,SF
34.67,141.15,SF
